query,model,A1,A2,A3,A4,A5
Which payment processor is most trusted by businesses?,openai,4.0,4.4,4.6,4.8,5.0
Which payment processor is most trusted by businesses?,perplexity,4.0,4.7,4.9,5.0,5.0
Which project management tool is most reliable?,gemini,1.7999999999999998,2.5,3.1,3.6,4.0
Which project management tool is most reliable?,openai,1.5999999999999996,2.2,2.8,3.4,4.0
Which project management tool is most reliable?,perplexity,2.8,3.7,4.0,4.0,4.0
Which telehealth platform has the best clinical outcomes?,gemini,2.0,2.0,2.0,2.0,2.0
Which telehealth platform has the best clinical outcomes?,openai,2.2,3.3,3.8,4.0,4.0
Which telehealth platform has the best clinical outcomes?,perplexity,1.8,2.0,2.0,2.0,2.0
Wise vs PayPal for sending money abroad,gemini,3.0,3.0,3.0,3.0,3.0
Wise vs PayPal for sending money abroad,openai,3.0,3.0,3.0,3.0,3.0
Wise vs PayPal for sending money abroad,perplexity,3.0,3.0,3.0,3.0,3.0
Wise vs Revolut for international transfers,gemini,3.0,3.0,3.0,3.0,3.0
Wise vs Revolut for international transfers,openai,3.0,3.0,3.0,3.0,3.0
Wise vs Revolut for international transfers,perplexity,3.0,3.0,3.0,3.0,3.0
Zalando vs H&M for online fashion,gemini,3.8,4.0,4.0,4.0,4.0
Zalando vs H&M for online fashion,openai,2.4,2.7,2.9,3.0,3.0
Zalando vs H&M for online fashion,perplexity,3.2,3.4,3.6,3.8,4.0
